tournament_name,varsity_rounds,junior_varsity_rounds,novice_rounds,round_robin_rounds,season,ada_sanctioned
nuso,7,6,0,0,fall,0
gmu,6,6,5,0,fall,0
mostate,6,6,6,0,fall,0
hannieschaft,6,0,3,0,fall,0
kentucky,6,6,6,6,fall,0
binghamton,6,3,6,0,fall,0
kyrr,0,0,0,7,fall,0
minnesota,6,6,6,0,fall,0
houston,6,6,6,0,fall,0
wayne,6,6,6,0,fall,0
baird,0,0,0,7,fall,0
bradsmith,5,0,5,0,fall,0
harvard,8,6,6,0,fall,0
uco,6,6,0,0,fall,0
robertbarbera,5,0,0,0,fall,0
westpoint,6,6,6,0,fall,0
wake,7,6,6,0,fall,0
bto,6,0,6,0,fall,0